Image,h5_fooled,nit_h5,h5_wprediction,h5_to_tflite,h5_to_tflite_wprediction,h5_to_axc,h5_to_axc_wprediction,tflite_fooled,nit_tflite,tflite_wprediction,tflite_to_axc,tflite_to_axc_wprediction,axc_fooled,nit_axc,axc_wprediction,axc_to_h5_back
7700,False,1,0,False,0,False,0,True,1,0.97265625,True,0.35543383596260464,True,2,0.35543383596260464,False
7701,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7702,True,1,0.8113402,False,0,False,0,False,1,0,False,0,False,1,0,False
7703,True,1,0.99776685,False,0,False,0,False,1,0,False,0,False,1,0,False
7704,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7706,True,1,0.99662685,True,0.95703125,False,0,True,1,0.98828125,True,0.4368461596852381,True,72,0.4368461596852381,False
7707,True,1,0.9885548,False,0,False,0,True,1,0.73046875,False,0,False,2,0,False
7708,True,1,0.9943212,False,0,False,0,True,1,0.97265625,True,0.4657633468473115,True,97,0.4657633468473115,True
7710,True,1,0.9269202,False,0,False,0,False,1,0,False,0,False,1,0,False
7712,True,1,0.99988556,False,0,False,0,True,1,0.796875,False,0,False,97,0,False
7713,True,1,0.9990989,False,0,False,0,True,1,0.9921875,True,0.5893711074736258,True,1,0.5893711074736258,True
7714,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7715,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7716,True,1,0.98131245,False,0,True,0.40544086759446896,True,1,0.9765625,True,0.502181350653869,True,18,0.502181350653869,False
7718,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7719,True,1,0.99974924,False,0,False,0,False,1,0,False,0,False,1,0,False
7720,True,1,0.9673287,False,0,False,0,True,1,0.90625,True,0.4372613729697558,True,97,0.4372613729697558,False
7721,True,1,0.99952793,False,0,False,0,True,1,0.9140625,False,0,False,69,0,False
7722,True,1,0.98651695,True,0.4296875,False,0,True,1,0.92578125,True,0.42320894809012616,True,8,0.42320894809012616,True
7723,True,1,0.9990746,True,0.99609375,True,0.4171576678584315,True,1,0.99609375,True,0.5709473566796572,True,1,0.5709473566796572,True
7724,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7725,True,1,0.96701247,False,0,False,0,False,1,0,False,0,False,1,0,False
7726,True,1,0.80359936,False,0,False,0,False,1,0,False,0,False,1,0,False
7727,False,1,0,False,0,False,0,True,3,0.71875,True,0.3425259845998287,True,97,0.3425259845998287,False
7728,True,1,0.99980634,True,0.94140625,False,0,True,1,0.96484375,True,0.5271803117773355,True,84,0.5271803117773355,True
7730,False,1,0,False,0,False,0,True,60,0.76953125,False,0,False,1,0,False
7731,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7732,True,1,0.95714456,False,0,False,0,True,1,0.90234375,True,0.3528265880762581,True,97,0.3528265880762581,False
7733,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7734,True,12,0.7211202,False,0,False,0,False,1,0,False,0,False,1,0,False
7735,True,1,0.99939144,False,0,False,0,True,1,0.94140625,True,0.6514637759677571,True,4,0.6514637759677571,True
7737,False,1,0,False,0,False,0,True,1,0.9921875,True,0.4961990440908226,True,97,0.4961990440908226,False
7738,True,1,0.9910512,True,0.73828125,True,0.38031677784286066,True,1,0.9921875,False,0,False,8,0,False
7739,True,1,0.9985208,False,0,False,0,True,5,0.78515625,True,0.3537175827205521,True,97,0.3537175827205521,True
7740,True,1,0.97424877,False,0,False,0,False,1,0,False,0,False,1,0,False
7742,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7743,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7746,True,1,0.99996555,True,0.94921875,True,0.5561228301979197,True,1,0.8515625,True,0.5529758060452283,True,7,0.5529758060452283,True
7747,False,1,0,False,0,False,0,True,5,0.828125,False,0,False,1,0,False
7748,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7749,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7751,True,1,0.98404896,True,0.95703125,False,0,True,1,0.99609375,True,0.5569563305007197,True,26,0.5569563305007197,True
7752,True,1,0.9992568,False,0,False,0,False,1,0,False,0,False,1,0,False
