Image,h5_fooled,nit_h5,h5_wprediction,h5_to_tflite,h5_to_tflite_wprediction,h5_to_axc,h5_to_axc_wprediction,tflite_fooled,nit_tflite,tflite_wprediction,tflite_to_axc,tflite_to_axc_wprediction,axc_fooled,nit_axc,axc_wprediction,axc_to_h5_back
10,False,1,0,False,0,False,0,False,1,0,False,0,True,51,0.6805818040643319,False
11,False,1,0,False,0,False,0,True,5,0.984375,True,0.6644586675638872,False,1,0,False
13,True,1,0.9403508,False,0,False,0,False,1,0,False,0,False,1,0,False
14,True,2,0.7392354,False,0,False,0,True,1,0.92578125,True,0.5854079001924452,True,5,0.5854079001924452,False
15,True,1,0.9965766,True,0.765625,True,0.587621722447976,True,1,0.99609375,True,0.7812025365372713,True,1,0.7812025365372713,True
18,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
19,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
20,True,1,0.8920258,False,0,False,0,False,1,0,False,0,False,1,0,False
21,True,1,0.93229026,False,0,False,0,False,1,0,False,0,False,1,0,False
22,True,1,0.9823325,True,0.4453125,True,0.3230527288859153,True,1,0.99609375,True,0.6764863314744372,True,3,0.6764863314744372,False
23,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
26,True,4,0.7388705,False,0,False,0,False,1,0,False,0,False,1,0,False
27,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
29,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
30,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
31,True,1,0.9312126,False,0,False,0,False,1,0,False,0,False,26,0,False
34,True,2,0.84046215,False,0,False,0,False,1,0,False,0,False,1,0,False
36,True,1,0.8146101,False,0,False,0,False,1,0,False,0,False,1,0,False
37,True,1,0.9852823,False,0,False,0,True,1,0.8984375,True,0.594122083850342,True,42,0.594122083850342,False
38,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
39,True,1,0.728896,True,0.98828125,True,0.720599491196489,False,1,0,False,0,False,1,0,False
40,True,1,0.7437562,False,0,False,0,True,7,0.86328125,True,0.5590997083729297,True,36,0.5590997083729297,True
41,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
42,True,1,0.8775877,False,0,False,0,True,1,0.75,True,0.5601144187073286,False,1,0,False
43,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
44,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
45,False,1,0,False,0,False,0,True,1,0.8828125,True,0.5694521568823699,False,1,0,False
47,True,1,0.99837863,False,0,False,0,True,1,0.73046875,True,0.5319452047556824,True,51,0.5319452047556824,True
48,True,1,0.83056855,False,0,False,0,False,1,0,False,0,False,1,0,False
49,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
50,True,1,0.955649,False,0,False,0,False,1,0,False,0,False,1,0,False
51,True,6,0.8274504,False,0,False,0,False,1,0,False,0,False,1,0,False
54,True,1,0.9999578,True,0.953125,True,0.5311861843350106,True,1,0.99609375,True,0.6752303189573106,True,2,0.6752303189573106,True
55,True,1,0.9999963,True,0.93359375,True,0.5222847775670741,True,1,0.99609375,True,0.6558844553104978,True,1,0.6558844553104978,True
57,True,1,0.89604115,True,0.984375,True,0.6641508462269023,True,1,0.9765625,True,0.6223091082930202,True,1,0.6223091082930202,True
59,True,1,0.9995499,False,0,False,0,True,1,0.921875,True,0.6051576130761457,True,6,0.6051576130761457,True
60,True,1,0.8837446,False,0,False,0,False,1,0,False,0,False,1,0,False
62,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
63,True,1,0.9870133,False,0,False,0,True,1,0.98046875,True,0.6025079227563546,True,4,0.6025079227563546,True
64,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
65,False,1,0,False,0,False,0,True,1,0.9609375,True,0.6101965413008484,True,48,0.6101965413008484,False
66,True,1,0.98559266,False,0,False,0,False,1,0,False,0,False,1,0,False
67,True,1,0.97714394,False,0,False,0,True,1,0.984375,True,0.6431098943644503,True,4,0.6431098943644503,True
68,True,2,0.8261676,True,0.65625,True,0.4007430371911392,True,1,0.96484375,True,0.5029030527176687,True,51,0.5029030527176687,True
69,True,1,0.9962804,False,0,False,0,True,1,0.78125,True,0.49522699375551893,True,9,0.49522699375551893,True
71,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
72,True,1,1.0,True,0.99609375,True,0.781345972964814,True,1,0.99609375,True,0.7278021196438622,True,1,0.7278021196438622,True
73,True,1,0.9989207,True,0.99609375,True,0.753003831220876,True,1,0.99609375,True,0.6677924810622368,True,1,0.6677924810622368,True
75,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
76,True,1,0.7577245,True,0.7890625,True,0.44272553979755525,True,1,0.95703125,True,0.48818713586869744,True,51,0.48818713586869744,False
77,True,1,0.9389221,False,0,False,0,True,1,0.9609375,True,0.7028702200324517,True,1,0.7028702200324517,False
79,True,1,0.9999963,False,0,False,0,True,1,0.9140625,True,0.5352272290582565,True,3,0.5352272290582565,True
80,True,1,0.99999785,True,0.8984375,True,0.5997664339834999,True,1,0.99609375,True,0.7487118522548958,True,1,0.7487118522548958,True
81,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
82,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
83,True,1,0.99952126,False,0,False,0,False,1,0,False,0,False,51,0,False
84,True,1,0.9999349,True,0.4296875,True,0.2832411756188196,True,1,0.99609375,True,0.7103475496918701,True,1,0.7103475496918701,True
86,True,1,0.9572989,True,0.84375,True,0.5889277555270849,True,1,0.984375,True,0.7235553271872605,True,1,0.7235553271872605,True
87,True,1,0.99999964,True,0.74609375,True,0.4354450269223544,True,1,0.99609375,True,0.7796639779705143,True,1,0.7796639779705143,True
88,True,1,0.9828128,False,0,False,0,False,1,0,False,0,False,1,0,False
89,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
90,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
92,True,1,0.9938996,False,0,False,0,False,1,0,False,0,False,51,0,False
93,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
94,False,1,0,False,0,False,0,True,1,0.8515625,True,0.5259878545163975,True,36,0.5259878545163975,False
95,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
96,True,15,0.71458596,False,0,False,0,False,1,0,False,0,False,1,0,False
97,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
98,True,13,0.7349376,False,0,False,0,False,1,0,False,0,False,1,0,False
99,True,1,0.9849311,False,0,False,0,True,1,0.71875,True,0.37426546335251415,True,39,0.37426546335251415,False
100,True,1,0.8135273,False,0,False,0,True,4,0.84375,True,0.463870650488321,True,51,0.463870650488321,False
102,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
103,True,1,0.9879431,True,0.84375,True,0.520393298866181,True,1,0.99609375,True,0.7577230546117631,True,1,0.7577230546117631,True
104,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
105,True,1,0.87817687,False,0,False,0,False,1,0,False,0,False,1,0,False
107,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
108,True,1,0.791372,False,0,False,0,True,5,0.73046875,True,0.5454107615031382,False,1,0,False
109,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
110,True,1,0.98861015,True,0.8828125,True,0.5746295943779223,True,1,0.99609375,True,0.7806720049042031,True,1,0.7806720049042031,False
111,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
112,True,1,0.75809824,True,0.4140625,True,0.356324581775226,True,1,0.9921875,True,0.7302724746251046,True,1,0.7302724746251046,False
113,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
114,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
115,True,2,0.79138714,False,0,False,0,False,1,0,False,0,False,1,0,False
116,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
117,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
119,True,2,0.85762787,False,0,False,0,False,1,0,False,0,False,1,0,False
120,True,1,0.9992255,True,0.99609375,True,0.7582530850718906,True,1,0.99609375,True,0.7819730011562561,True,1,0.7819730011562561,True
122,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
123,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
124,True,1,0.99999905,True,0.99609375,True,0.7590792433278204,True,1,0.99609375,True,0.7897656753588113,True,1,0.7897656753588113,True
125,True,3,0.700987,True,0.578125,True,0.5105463677361622,True,1,0.9765625,True,0.6917570794153456,True,1,0.6917570794153456,False
126,True,1,0.9998387,True,0.94921875,True,0.6268784346589998,True,1,0.99609375,True,0.678548783593801,True,1,0.678548783593801,True
128,True,1,0.9342657,True,0.6171875,True,0.45650138320704087,True,1,0.984375,True,0.5858884435198927,True,4,0.5858884435198927,True
129,True,1,0.9999472,True,0.87890625,True,0.6464911874942356,True,1,0.99609375,True,0.849016598261922,True,1,0.849016598261922,True
130,True,1,0.99487704,False,0,False,0,True,1,0.98828125,True,0.6101181127276757,True,1,0.6101181127276757,True
131,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
132,True,1,0.84661907,True,0.8203125,True,0.5722522870199944,True,1,0.9921875,True,0.6313838181339614,True,5,0.6313838181339614,False
133,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
134,True,34,0.75722,False,0,False,0,True,7,0.75390625,True,0.44820953456230933,False,1,0,False
135,True,1,0.9870214,True,0.75,True,0.5850990361914032,True,1,0.9609375,True,0.6529224846259819,True,7,0.6529224846259819,False
136,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
137,True,3,0.8053194,False,0,False,0,True,1,0.8515625,True,0.6158041306100596,True,14,0.6158041306100596,False
138,True,1,0.9988808,True,0.76171875,True,0.4955721742275564,True,1,0.96484375,True,0.6213044676535731,True,51,0.6213044676535731,True
140,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
141,True,1,0.9444553,False,0,False,0,False,1,0,False,0,False,1,0,False
142,True,5,0.7777466,False,0,False,0,False,1,0,False,0,False,1,0,False
143,True,1,0.9738133,False,0,False,0,True,1,0.921875,True,0.5442495456741531,True,26,0.5442495456741531,True
144,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
146,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
149,True,1,0.96766424,True,0.5234375,True,0.41791891954334637,True,2,0.96875,True,0.7346468091574712,True,7,0.7346468091574712,False
150,True,1,0.99986744,True,0.99609375,True,0.864270658483048,True,1,0.99609375,True,0.8167592183575815,True,1,0.8167592183575815,True
151,True,1,0.99836975,True,0.4921875,True,0.3871930643352799,True,1,0.97265625,True,0.6599102795521442,True,6,0.6599102795521442,True
152,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
153,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
154,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
156,True,1,0.99127954,True,0.36328125,True,0.3103653271152627,True,1,0.99609375,True,0.8023706138335281,True,1,0.8023706138335281,False
157,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
159,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
161,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
162,False,1,0,False,0,False,0,True,1,0.7734375,True,0.6141559390267124,True,8,0.6141559390267124,False
163,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
165,True,1,0.9958275,False,0,False,0,True,1,0.99609375,True,0.6805012000681914,True,1,0.6805012000681914,False
166,True,1,0.99997747,True,0.84375,True,0.5587204091501733,True,1,0.9921875,True,0.7173686282960365,True,1,0.7173686282960365,True
168,True,1,0.92094237,False,0,False,0,False,1,0,False,0,False,1,0,False
170,False,1,0,False,0,False,0,True,7,0.7265625,True,0.47743501381150905,True,51,0.47743501381150905,False
172,True,1,0.8609441,False,0,False,0,True,2,0.85546875,True,0.5110404162600652,True,3,0.5110404162600652,True
173,False,1,0,False,0,False,0,False,1,0,False,0,True,1,0.7526293854714556,False
174,True,1,0.9997638,True,0.5,True,0.4391201311625386,True,3,0.765625,True,0.5232430349080084,True,51,0.5232430349080084,False
175,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
176,True,1,0.9973477,False,0,False,0,False,1,0,False,0,False,1,0,False
177,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
179,True,1,0.94039106,True,0.62109375,True,0.37831866323590585,False,1,0,False,0,False,1,0,False
180,True,1,0.99498135,False,0,False,0,True,1,0.9609375,True,0.6562021003477789,False,1,0,False
181,True,1,0.99620193,False,0,False,0,True,1,0.81640625,True,0.47615019321092306,True,51,0.47615019321092306,True
182,True,6,0.72715545,False,0,False,0,False,1,0,False,0,False,1,0,False
183,True,1,0.9427726,False,0,False,0,True,2,0.8671875,True,0.5373979781940784,True,32,0.5373979781940784,True
184,True,1,0.99999964,True,0.99609375,True,0.9259313033097915,True,1,0.99609375,True,0.7923688466933358,True,1,0.7923688466933358,True
185,True,2,0.941908,False,0,False,0,False,1,0,False,0,False,1,0,False
186,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
187,True,1,0.96013224,True,0.98828125,True,0.8799818797472037,True,1,0.90625,True,0.6614712897924853,True,3,0.6614712897924853,False
190,True,1,0.9989059,True,0.9921875,True,0.7487756713353543,True,1,0.9921875,True,0.7546288813798929,True,1,0.7546288813798929,True
